"标题","标题链接","brief","keywords","发布时间","新闻类别","采集时的时间"
"日本高官称东京奥运或空场举行 又一地取消圣火传递","https://news.cctv.com/2021/04/15/ARTIxHaJgnIYI9EDnyzXGrl6210415.shtml","据日本共同社报道，日本行政改革担当相河野太郎出演15日的朝日电视台节目，提及新冠疫情下今夏东京奥运会和残奥会有可能空场举行。他称：“或许会是无观众形式。估计会采取和以往奥运不同的方式。”另一方面，据报道，日本爱媛县的东京奥运会圣...","东京,奥运会,空场","2021-04-15","国际","2021-04-24 16:53:36"
"“玩两手策略”？拜登派克里访华又让亲信赴台","https://news.cctv.com/2021/04/15/ARTImZtmt0hPr8xxFCB7Zjcr210415.shtml","美国国务院刚刚公布对台交往“新准则”，总统拜登本周就一方面派出气候问题特使克里访问大陆，同时派遣亲信托德赴台纪念“与台湾关系法”42周年，引发岛内外诸多解读。","拜登,亲信,赴台","2021-04-15","国际","2021-04-24 16:53:36"
"拜登与普京二度通话谈及诸多热点，外媒猜测：可能在奥地利或芬兰举行首脑峰会","https://news.cctv.com/2021/04/15/ARTIT7X4syXKXjoDuV3Uh1pv210415.shtml","美国总统拜登13日打电话给俄罗斯总统普京，讨论一系列热点问题，并提议在第三国举行美俄峰会。这是自上个月拜登称普京为“杀手”从而导致两国关系更趋紧张后两人首次通话。拜登在通话中表示寻求美俄建立“稳定和可预测的关系”，但舆论普遍不看好。","拜登,普京,首脑峰会","2021-04-15","国际","2021-04-24 16:53:36"
"土耳其累计新冠确诊病例超400万例","https://photo.cctv.com/2021/04/15/PHOA0KgJ8UVCuIsKhJ4kPxgo210415.shtml","土耳其卫生部4月14日公布的数据显示，该国当天新增新冠确诊病例62797例，为疫情暴发以来最高纪录。","土耳其,新冠疫情,确诊病例","2021-04-15","国际","2021-04-24 16:53:36"
"疫情下的柬埔寨新年","https://photo.cctv.com/2021/04/15/PHOAzhmCfmmPNoOwifCMGZwW210415.shtml","4月14日至16日是柬埔寨新年，部分民众前往寺庙祈福迎新。","柬埔寨,新年,文化","2021-04-15","国际","2021-04-24 16:53:36"
"日落金字塔","https://photo.cctv.com/2021/04/15/PHOAh0AlhKVJozosP8887Lsb210415.shtml","这是4月14日从埃及开罗拍摄的吉萨金字塔群日落景色。","埃及,开罗,日落","2021-04-15","国际","2021-04-24 16:53:36"
"日本核废水入海 再次凸显美国“驰名双标”","https://news.cctv.com/2021/04/15/ARTIXqdC7gnP1Gr0PSiOW6By210415.shtml","美国官员表面上喊着“感谢”，支持日本将核废水倾倒入海，一边却以核污染为由禁止系列日本食品进口到美国。这种分裂的做法背后，其实只是再一次展现了他们在“双标”界，也就是搞双重标准方面的一贯表现。","日本,核废水,美国","2021-04-15","国际","2021-04-24 16:53:36"
"阿富汗总统表示尊重美国撤军决定","https://news.cctv.com/2021/04/15/ARTIdP6pkFo3WizV9WV3E0Xk210415.shtml","阿富汗总统加尼14日表示，阿富汗政府尊重美国政府有关今年9月11日前撤出驻阿美军的决定。","阿富汗,撤军,美国总统","2021-04-15","国际","2021-04-24 16:53:36"
"南非更换国防军司令及国防军司令部各军种多名将领","https://news.cctv.com/2021/04/15/ARTIYieMCWAuQsZ97MXwDQWQ210415.shtml","南非总统府当地时间4月14日通告称，南非国防军司令肖基上将将于2021年5月31日退休，南非总统拉马福萨任命鲁德扎尼·马普瓦尼亚（Rudzani Maphwanya ）中将为新一任南非国防军司令，并从2021年6月1日起晋升为...","国防军,南非总统,将领","2021-04-15","国际","2021-04-24 16:53:36"
"东京奥运会倒计时100天 中国奥运军团准备好了吗？","https://news.cctv.com/2021/04/15/ARTIorB06CegWcEGdvPiPJzq210415.shtml","东京奥运会开幕倒计时100天之际，中国奥运军团已经在23个大项、180个小项上拿到255张奥运会门票，有望出战奥运会的选手来到363人次。","东京奥运会,中国奥运军团,中国代表团","2021-04-15","国际","2021-04-24 16:53:36"
"海地总理辞职 总统：有助于解决安全问题和政治危机","https://news.cctv.com/2021/04/15/ARTIkMwP9oloWK5ZvhTW5lXJ210415.shtml","海地总理约瑟夫·茹特14日宣布辞职。海地总统若弗内尔·莫伊兹任命外长克洛德·约瑟夫为新任总理。","海地总理,伊斯帕尼奥拉岛,辞职原因","2021-04-15","国际","2021-04-24 16:53:36"
"【国际锐评】道高一丈！西方阴谋家们还有何底气打“新疆牌”？","https://news.cctv.com/2021/04/15/ARTI7BwJDcZu1zBPIk2G9hzs210415.shtml","“魔高一尺，道高一丈。”这句用来比喻正义压倒邪恶的中国俗语，用在涉疆问题的较量上非常贴切。","新疆牌,国际社会,阴谋家","2021-04-15","国际","2021-04-24 16:53:36"
"伊朗总统：愿意“按照自己的逻辑”参与重回伊核协议谈判","https://news.cctv.com/2021/04/15/ARTIHwijnDmnlWJD63osJBW0210415.shtml","伊朗总统鲁哈尼14日在内阁会议上表示，伊朗愿意就重回伊朗核问题全面协议参与谈判，但将“按照自己的逻辑”进行谈判。","伊朗,伊核协议,谈判","2021-04-15","国际","2021-04-24 16:53:36"
"日驻韩大使馆称韩核电站也排放氚，韩方：我们处理过，没法比","https://news.cctv.com/2021/04/15/ARTIpxPoiw0M193NOOK6RgIV210415.shtml","韩国总统文在寅4月14日接受日本驻韩大使相星孝一递交国书时强调，韩方非常担忧日本政府排核污入海的决定。文在寅同日还在青瓦台内部会议上，命令韩国官员研究将日方决定提交国际海洋法庭。","核电站,福岛,韩国","2021-04-15","国际","2021-04-24 16:53:36"
"（世界祸乱之源）【国际锐评】美西方殖民主义的幽灵仍在出没","https://news.cctv.com/2021/04/14/ARTIktEPZ9rbZT5vwqSr7fy2210414.shtml","“非洲国家接种疫苗的数量只占全球总量的2%，仍然还在起跑线上。”近日， 世卫组织非洲区主任玛奇迪索·穆蒂发表声明，对全球疫苗分配不均忧心忡忡。而了解美西方殖民史的人，不会对此感到奇怪。因为巨大的“疫苗鸿沟”，不过是几个世纪美西方...","殖民主义,祸乱之源,优越感","2021-04-14","国际","2021-04-24 16:53:36"
"埃及发生严重交通事故导致20人死亡","https://news.cctv.com/2021/04/14/ARTIggzGFh9xwzA8Bnr2j6Wk210414.shtml","埃及卫生部14日发表声明说，当天凌晨，埃及南部艾斯尤特省发生一起严重交通事故，造成至少20人死亡、3人受伤。","埃及,交通事故,交通安全","2021-04-14","国际","2021-04-24 16:53:36"
"伊朗将生产丰度为60%的浓缩铀","https://news.cctv.com/2021/04/14/ARTI7vFq7ByCN5exvLa2ziA9210414.shtml","据伊朗新闻电视台报道，伊朗副外长阿拉格希13日说，伊朗已告知国际原子能机构，计划从14日开始生产丰度为60%的浓缩铀。","伊朗,丰度,浓缩铀","2021-04-14","国际","2021-04-24 16:53:36"
"俄罗斯里海舰队向黑海派出多艘军舰","https://news.cctv.com/2021/04/14/ARTI7felXpdzziLjc0nwaxen210414.shtml","俄罗斯军方13日证实，俄罗斯海军里海舰队向黑海地区派出了15艘舰船。","俄罗斯里海舰队,黑海,军舰","2021-04-14","国际","2021-04-24 16:53:36"
"美国将向德国增派500名军事人员","https://news.cctv.com/2021/04/14/ARTI1MWXvaBTezutxhDooG8Q210414.shtml","美国国防部长奥斯汀13日在与德国国防部长会谈后对媒体表示，预计最早于今年秋天，美国将向德国增派约500名军事人员。","美国,德国,增派","2021-04-14","国际","2021-04-24 16:53:36"
"新冠疫情暴发一年多 15%美国民众财务状况更糟","https://news.cctv.com/2021/04/14/ARTI3Q28CJ9ptMohG5K3X0DX210414.shtml","虽然大多数美国人在经济上挺过了新冠疫情，但仍有3800万人表示，他们现在的经济情况比疫情暴发前更糟。","新冠,财务状况,美国民众","2021-04-14","国际","2021-04-24 16:53:36"
"华盛顿：四万绢花纪念枪击遇难者","https://photo.cctv.com/2021/04/14/PHOAIjKP0BBy2wCx1mb8qjA4210414.shtml","4月13日，四万朵白色绢花被摆放在国会大厦与华盛顿纪念碑之间的国家广场草坪上。","华盛顿,四万,绢花","2021-04-14","国际","2021-04-24 16:53:36"
"驻阿美军拟9月11日前撤离 将错过特朗普所定期限","https://news.cctv.com/2021/04/14/ARTILzUBJtK5i7WWP0Ar1w8H210414.shtml","当地时间13日，美国政府一位高级官员表示，美国总统拜登计划在9月11日之前从阿富汗撤出剩余2500名美军。这意味着，美国将错过特朗普政府此前与塔利班达成的5月1日撤军的最后期限。","美军,阿富汗,撤军","2021-04-14","国际","2021-04-24 16:53:36"
"“消失”两周后露面，杜特尔特：我故意的，要捉弄那些诋毁者！","https://news.cctv.com/2021/04/14/ARTI1kV5pWLgtvdBacN5f9mV210414.shtml","“消失”两周后，76岁的菲律宾总统杜特尔特终于在12日公开露面，打破外界对他健康状况的种种谣言。","杜特尔特","2021-04-14","国际","2021-04-24 16:53:36"
"韩国民众抗议福岛核废水排入大海","https://photo.cctv.com/2021/04/14/PHOADmTMhXBPCRGylHWUs08L210414.shtml","4月14日，韩国民众在位于首尔的日本驻韩国大使馆外集会，抗议日本政府将福岛核废水排入大海。","韩国,民众,抗议","2021-04-14","国际","2021-04-24 16:53:36"
"发布“假照片”激怒俄罗斯后，CNN悄悄把图撤了","https://news.cctv.com/2021/04/14/ARTIsVaYDV3Kf5tFJnEKf10t210414.shtml","美国有线电视新闻网（CNN）在近日报道中发布了一张“假照片”，将乌克兰火车站的乌克兰坦克当做“俄罗斯备战”的证据。在遭到俄罗斯外交部发言人扎哈罗娃点名批评后，俄罗斯卫星通讯社14日发现，CNN已经悄悄撤下了涉事照片。","CNN,俄罗斯","2021-04-14","国际","2021-04-24 16:53:36"
"东京奥运会迎来倒计时100天 残奥会吉祥物揭晓","https://photo.cctv.com/2021/04/14/PHOAizlyehV0BIDBwTlX07Nw210414.shtml","4月14日，东京奥运会开幕倒计时100天，残奥会吉祥物“Miraitowa”和“Someity”揭晓。","东京,奥运会,倒计时","2021-04-14","国际","2021-04-24 16:53:36"
"因出现严重血栓病例 美国暂停接种强生疫苗","https://photo.cctv.com/2021/04/14/PHOAkrczORiDUAQc46sFUh9o210414.shtml","鉴于美国已报告6例因接种强生新冠疫苗出现罕见严重血栓病例，美国多地暂停接种强生新冠疫苗。","血栓,病例,美国","2021-04-14","国际","2021-04-24 16:53:36"
"NBA：湖人101-93险胜黄蜂","https://photo.cctv.com/2021/04/14/PHOA6xCtfpQy0MCojEpYxydu210414.shtml","北京时间4月14日，湖人客场以101-93险胜黄蜂。","NBA,湖人,险胜","2021-04-14","国际","2021-04-24 16:53:36"
"研究：英国报告的变异新冠病毒不会让入院病患病情加重","https://news.cctv.com/2021/04/14/ARTIyFNevjhyDpu9gsOW2oMd210414.shtml","英国伦敦大学学院13日发布一项研究报告说，抽样调查显示，英国报告的变异新冠病毒B.1.1.7与新冠入院病患的疾病严重程度及病亡率没有关联。","新冠,变异病毒","2021-04-14","国际","2021-04-24 16:53:36"
"弗洛伊德案庭审：辩方武力专家称警官“跪压”合理","https://news.cctv.com/2021/04/14/ARTIKFEoWWFzPFMnxToWy0O5210414.shtml","当地时间13日，美国明尼阿波利斯市非裔男子弗洛伊德遭白人警察肖万暴力执法致死案庭审继续。","弗洛伊德案,开庭审理","2021-04-14","国际","2021-04-24 16:53:36"
"日本核能监管机构禁止东京电力公司重启其最大核电站","https://news.cctv.com/2021/04/14/ARTIBMzm9Jk6zmu3JtODz0mR210414.shtml","因东京电力公司柏崎刈羽核电站（新潟县）在核物质防护方面出现漏洞，日本原子力规制委员会当地时间14日正式决定向其发出禁止运行命令。","电力公司,核电站,重启","2021-04-14","国际","2021-04-24 16:53:36"
"图解：反华势力涉疆“数据库”及其“证人”，原形毕露！","https://news.cctv.com/2021/04/14/ARTIhkO0BurabPA8GfGda6G6210414.shtml","近年来，国际上一些反华势力炮制所谓涉疆“数据库”。笼络收集一些所谓的“证人证言”，妄图以假乱真、诋毁新疆、蒙骗世人。","证人,数据库,反华势力","2021-04-14","国际","2021-04-24 16:53:36"
"图解：五宗罪！揭开美国人权遮羞布","https://news.cctv.com/2021/04/14/ARTIFPXZq6Nur2FStw3LEsnj210414.shtml","长期以来，美国一直标榜自己是所谓“人权楷模”，不断指责其他国家侵犯人权。但是，反观美国本国人权问题便知，这只是它将脏水泼向别人以转移视线的伎俩。","人权,美国,揭开","2021-04-14","国际","2021-04-24 16:53:36"
"促进疫苗公平分配 坚定支持多边主义","https://news.cctv.com/2021/04/14/ARTIfYNFmOfOeXz0EwISnWST210414.shtml","当前，新冠疫苗全球公平分配问题越来越受到关注。根据相关机构统计，占世界人口16%的富裕国家拥有全球60%的疫苗，几个发达国家的订购量是其人口数的两到三倍。一些国家奉行“疫苗民族主义”，大量囤积远超其人口需要的新冠疫苗并拒绝向其他...","疫苗临床,多边主义,疫苗民族主义","2021-04-14","国际","2021-04-24 16:53:36"
"日本的一己之私将让全世界“买单”","https://news.cctv.com/2021/04/14/ARTIB0ggmVtDfG1W6X9BUJy8210414.shtml","4月13日，日本政府决定以海洋排放方式处置福岛核电站事故核废水，迅速引起国际社会高度关注。核废水排海可能导致的后果，让周边国家以及国际社会十分担忧。","买单,废水处置,日本政府","2021-04-14","国际","2021-04-24 16:53:36"
"海外网评：核废水日本岂能“一倒了之”！","https://news.cctv.com/2021/04/14/ARTIkUdhPVAykaNayR9dXHj8210414.shtml","据《朝日新闻》报道，日本政府4月13日召开内阁会议，正式决定向海洋排放福岛第一核电站含有对海洋环境有害的核废水。中国外交部发言人赵立坚在4月12日的记者会上曾表示，“日方应对国际公共利益负责，这也是对本国民众利益负责。”日本政府...","日本政府,核污染,废水排放","2021-04-14","国际","2021-04-24 16:53:36"
"动画演示丨核废水倾倒入海 放射性物质这样影响海洋！","https://news.cctv.com/2021/04/14/ARTId2bEJOubo7Auu2VphEzM210414.shtml","所谓核废水，是指福岛核电站发生事故后，为防止堆芯熔化，不断向反应堆注入的冷却水。","核废水,入海,放射性物质","2021-04-14","国际","2021-04-24 16:53:36"
"加勒比岛国圣文森特火山喷发","https://photo.cctv.com/2021/04/14/PHOAX998Tmlw3qsqrPcX8O2p210414.shtml","当地时间4月13日，加勒比岛国圣文森特和格林纳丁斯一座火山在休眠40多年后喷发。","加勒比,岛国,圣文森特","2021-04-14","国际","2021-04-24 16:53:36"
"希腊银河星光璀璨","https://photo.cctv.com/2021/04/14/PHOAL8ILSF8ESwwbQ4XI0cXW210414.shtml","当地时间2021年4月9日，希腊哈尔基迪基，璀璨银河现身夜空。","希腊,银河,夜空","2021-04-14","国际","2021-04-24 16:53:36"
"疫情下的泰国宋干节","https://photo.cctv.com/2021/04/14/PHOA1NTAcbccuYUu6R44fnhH210414.shtml","每年4月13日至15日是泰国传统新年宋干节，人们会用互相泼水的方式表达迎新祝福。","泰国,宋干节,文化","2021-04-14","国际","2021-04-24 16:53:36"
"第三波疫情来袭 泰国曼谷大皇宫等皇家景点再次关闭","https://news.cctv.com/2021/04/14/ARTIsvEOpzy4P3VMDTWU9vdE210414.shtml","泰国宫务处13日发布通知称，自当天起关闭大皇宫和玉佛寺等皇家景点直至疫情情况好转。","泰国曼谷,疫情暴发","2021-04-14","国际","2021-04-24 16:53:36"
"坦桑尼亚乞力马扎罗省发生车祸 致10死12伤","https://news.cctv.com/2021/04/14/ARTIyhG8J2xtzZ4LSa0j09MD210414.shtml","当地时间4月13日，据坦桑尼亚媒体报道，乞力马扎罗省萨麦地区发生交通事故，造成10人死亡，12人受伤，另有5人处于危险状态。","交通事故,坦桑尼亚","2021-04-14","国际","2021-04-24 16:53:36"
"一意孤行排污入海 日本要拉全世界买单？","https://news.cctv.com/2021/04/14/ARTImt04cCcXSrOYiXtVMuWf210414.shtml","日本政府13日召开内阁会议正式决定，将上百万吨福岛第一核电站的核废水排入海洋。日本政府这一决定引发各界强烈质疑和反对。","核废水,日本","2021-04-14","国际","2021-04-24 16:53:36"
"白宫发言人：美国将在各个层面与中国接触 强调竞争避免冲突","https://news.cctv.com/2021/04/14/ARTI30RwhiaJYblm00rhHe9Y210414.shtml","当地时间4月13日，美国白宫新闻发言人珍·普萨基在简报会上回答记者有关美国是否会在国际领导人气候峰会即将召开之际解决与中国的紧张局势并重建关系时表示，美国尚未确定双边会议是否将会成为峰会的一部分。","美国经济,竞争","2021-04-14","国际","2021-04-24 16:53:36"
"经济观察：国家发改委回应美国在华跨国企业三大关切","https://news.cctv.com/2021/04/14/ARTIpo7mU8ThVLV6TbVPpxoA210414.shtml","中国国家发展和改革委员会13日与美国在华跨国企业高层举办圆桌会。当日，47家美在华企业及商会共60名代表参会。在这场圆桌会上，国家发改委相关司局多位负责人回应了美国企业包括如何稳定中美经贸关系、如何支持外企发展、如何进一步保护知...","经贸关系,外资项目","2021-04-14","国际","2021-04-24 16:53:36"
"俄防长：美国和北约向俄边界调兵 俄采取应对措施","https://news.cctv.com/2021/04/14/ARTIL6imDrglSHflAEbttBlt210414.shtml","据俄罗斯卫星网报道，俄罗斯国防部长绍伊古13日表示，北约的军事行动对俄罗斯构成威胁，俄罗斯正在采取回应措施。","北约,俄罗斯","2021-04-14","国际","2021-04-24 16:53:36"
"没有泼水活动的泰国泼水节","https://news.cctv.com/2021/04/14/ARTIvMFW98MpkuApjU9HETbV210414.shtml","每年4月13日至15日是传统泰历新年宋干节（也称泼水节），泰国民众在节日期间会举办各种泼水庆祝活动，象征洗去不如意、迎来新气象。泰国首都曼谷的考山路向来是泼水节最热闹、最欢乐的街区之一，然而从去年新冠疫情暴发以来，这里已连续两年...","泰国,泼水节","2021-04-14","国际","2021-04-24 16:53:36"
"白宫官员：所有联邦卫生机构将立即停用强生疫苗","https://news.cctv.com/2021/04/13/ARTIQAjW7uBvUSWBX8NEsTxE210413.shtml","当地时间13日，美国疾控中心（CDC）及食品和药品管理局（FDA）发布声明，因血栓症状建议暂停使用强生新冠疫苗。","白宫,疫苗接种,强生","2021-04-13","国际","2021-04-24 16:53:36"
"韩总理发文谴责日本核废水排海决定","https://news.cctv.com/2021/04/13/ARTIyLxmroxATz0pbuLk9JFr210413.shtml","韩国国务总理丁世均当地时间13日在社交媒体上发文谴责日本政府决定将福岛第一核电站核废水排入大海一事，并称此举是侵犯周边国家公民权利的不负责任的决定，绝不能接受。","废水,福岛,韩国","2021-04-13","国际","2021-04-24 16:53:36"
"韩国民众在日本大使馆外抗议日核废水排海","https://photo.cctv.com/2021/04/13/PHOANKNyYxIFyfCZakM3UQCL210413.shtml","当地时间2021年4月13日，韩国首尔，活动人士在日本驻韩大使馆外抗议。","韩国,民众,抗议","2021-04-13","国际","2021-04-24 16:53:36"
"印度大批民众沐浴恒河庆祝“大壶节”","https://photo.cctv.com/2021/04/13/PHOAw3YzNE2FQa6ESCmyrY3z210413.shtml","当地时间2021年4月12日，印度哈里瓦尔，大批民众在恒河内沐浴，庆祝大壶节。","印度,大批,民众","2021-04-13","国际","2021-04-24 16:53:36"
"NBA：湖人96-111不敌尼克斯","https://photo.cctv.com/2021/04/13/PHOAnOHhQdg9yWHJPpbroV46210413.shtml","北京时间4月13日，NBA常规赛，洛杉矶湖人96-111不敌纽约尼克斯。","NBA,湖人,不敌","2021-04-13","国际","2021-04-24 16:53:36"
"韩国外交部召见日本驻韩大使抗议核废水排海","https://news.cctv.com/2021/04/13/ARTIcAyu73PgjZQ6ZMKPSFY9210413.shtml","据韩联社报道，韩国外交部13日召见日本驻韩国大使，就日本决定将福岛第一核电站核污染水排放入海一事提出严正抗议。","日本,核污染,韩国","2021-04-13","国际","2021-04-24 16:53:36"
"肯尼亚濒危长颈鹿“坐船”搬家","https://photo.cctv.com/2021/04/13/PHOALEZFoMfkIqau8d879iQY210413.shtml","肯尼亚大裂谷巴里戈湖，一只濒危的罗思希尔德长颈鹿被一艘驳船运送到大陆上的Ruko社区保护协会。","肯尼亚,长颈鹿,坐船","2021-04-13","国际","2021-04-24 16:53:36"
"俄罗斯多地纪念载人航天60周年","https://photo.cctv.com/2021/04/13/PHOAbu2ejjkjbdHVCsI8cxMv210413.shtml","当地时间2021年4月12日，俄罗斯多地纪念载人航天60周年。","俄罗斯,多地,纪念","2021-04-13","国际","2021-04-24 16:53:36"
"揭批美国五大“原罪”：干涉成瘾，世无宁日","https://news.cctv.com/2021/04/13/ARTI83l7CSErI6hMup6vk3YY210413.shtml","世界许多地方为啥这么乱？越来越多的人认识到，一个重要原因是美国的干涉主义。作为世界头号强国，干涉他国事务成瘾的美国给这个世界平添了许多战争、动乱和痛苦。","美国","2021-04-13","国际","2021-04-24 16:53:36"
"秘鲁发生长途客车翻车事故 20死14伤","https://news.cctv.com/2021/04/13/ARTIC5i1tJwqhIoIhCCKBv5K210413.shtml","秘鲁一辆长途客车12日在该国北部安卡什省发生交通事故，造成20人死亡、14人受伤。","长途客车,秘鲁,翻车事故","2021-04-13","国际","2021-04-24 16:53:36"
"美国部分州因强生疫苗不良反应临时关闭接种点","https://news.cctv.com/2021/04/13/ARTI0V3o9EHlW5GAvf2Skq5I210413.shtml","据美国媒体报道，近日美国部分州因民众接种强生新冠疫苗后出现不良反应临时关闭部分接种点。","美国,接种,不良反应","2021-04-13","国际","2021-04-24 16:53:36"
"美国务院：日本核污水入海决定“似乎符合核安全标准”","https://news.cctv.com/2021/04/13/ARTImFrvXsvbOWrUNzvrdB4i210413.shtml","美国国务院发言人内德·普莱斯表示，针对日本政府宣布将东京电力福岛第一核电站处理水排放入海的决定，美方认为日方的措施“似乎符合全球公认的核安全标准”，将继续与日方沟通。","日本政府,核安全标准,入海","2021-04-13","国际","2021-04-24 16:53:36"
"韩国政府对日本决定排放核废水入海表示强烈遗憾","https://news.cctv.com/2021/04/13/ARTIm8KR13LSR5df8hNsoANR210413.shtml","当地时间13日，韩国政府对日本决定排放核废水入海表示强烈遗憾。","废水,排放,入海","2021-04-13","国际","2021-04-24 16:53:36"
"德国累计新冠确诊病例超过300万例","https://photo.cctv.com/2021/04/13/PHOAlvWUNT410wwF8yMCaFy0210413.shtml","4月12日，在德国首都柏林，人们在一处新冠检测点外排队等候。","德国,新冠疫情,确诊病例","2021-04-13","国际","2021-04-24 16:53:36"
"日本政府正式决定将福岛核废水排放入海","https://photo.cctv.com/2021/04/13/PHOApzPkHkEeCRaQ6yfBmuCY210413.shtml","当地时间2021年4月13日，日本政府召开阁僚会议，正式敲定将福岛第一核电站核废水排放入海的方针。","日本,福岛核废水,海洋污染","2021-04-13","国际","2021-04-24 16:53:36"
"联合国日内瓦办事处正式发布“2021年联合国中文日暨总台首届海外影像节”特别活动","https://news.cctv.com/2021/04/13/ARTItbGe6x8ViaUlqOV1beSe210413.shtml","当地时间4月9日，联合国日内瓦办事处在官方社交媒体正式发布“2021年联合国中文日活动暨中央广播电视总台首届海外影像节”特别活动节目预告。","联合国日内瓦办事处,海外影像节","2021-04-13","国际","2021-04-24 16:53:36"
"日本正式决定将福岛第一核电站的核废水排放入海","https://news.cctv.com/2021/04/13/ARTIBzMpNycoTSkJ8Kfl9hco210413.shtml","日本政府当地时间13日上午召开内阁会议，正式决定将东京电力公司福岛第一核电站内储存的核废水排放入海。","入海,废水排放,核电站","2021-04-13","国际","2021-04-24 16:53:36"
"联合国粮农组织：全球食品价格连续十个月上涨","https://news.cctv.com/2021/04/13/ARTIYDouXpy43ETDvIxhtCeh210413.shtml","4月8日，联合国粮农组织(FAO)发布报告称，今年3月份全球食品类商品价格连续第十个月上涨，其中植物油和乳制品报价涨幅最大。","价格指数,全球小麦,食品价格","2021-04-13","国际","2021-04-24 16:53:36"
"美国政府3月预算赤字为6600亿美元 成为有史以来第三大月度赤字","https://news.cctv.com/2021/04/13/ARTINiNJEMN00WDtrrdiekBP210413.shtml","当地时间4月12日，美国财政部发布的报告显示，拜登政府的新冠纾困救助计划将美国月度赤字逼近历史高点，联邦政府3月预算赤字为6600亿美元，创下此月份的有记录以来的新高，成为有史以来第三大月度赤字。","预算赤字,美国","2021-04-13","国际","2021-04-24 16:53:36"
"BBC再发假新闻抹黑中国疫苗","https://news.cctv.com/2021/04/13/ARTIBYTuwNUrFh6p8gM74dX6210413.shtml","中国疾控中心主任高福11日接受《环球时报》采访表示，他在上周六新闻发布会上有关疫苗的介绍被一些外媒故意曲解。他提供的是一种提高疫苗有效率的思路，但被恶意解读为中国疫苗有效率低。","BBC,假新闻","2021-04-13","国际","2021-04-24 16:53:36"
"法国政府欲立法约束外国势力在法开办私立和培训学校","https://news.cctv.com/2021/04/13/ARTILBSedfnQFYX6qXH8u1nB210413.shtml","当地时间4月12日，法国政府向参议院提交了《支持共和原则》法案的修正案，想以此约束外国势力通过中介在法国开办私立和培训学校的行为。","培训学校,外国势力,私立","2021-04-13","国际","2021-04-24 16:53:36"
"欧盟拟对疫情期间分发重要商品和服务免征增值税","https://news.cctv.com/2021/04/13/ARTIsNI3XeXeTNDXiiCi2mj4210413.shtml","继对口罩、呼吸机、新冠疫苗等抗疫物资免征增值税，欧盟12日决定进一步扩大税收优惠范围，提议对疫情期间欧盟分发的重要商品和服务免征增值税。","免征关税,欧盟委员会","2021-04-13","国际","2021-04-24 16:53:36"
"FBI前翻译6年前就“真相了”美乱疆阴谋","https://news.cctv.com/2021/04/12/ARTIMy9UgeJyaiOpnDwTmMBU210412.shtml","近日，美国联邦调查局（FBI）前翻译西贝尔·埃德蒙兹2015年一段涉疆采访视频曝光，她在采访中“明目张胆”地说出了美国的阴谋。","新疆,阴谋","2021-04-12","国际","2021-04-24 16:53:36"
"缅甸警方确认12日仰光五辆公交车起火系人为纵火","https://news.cctv.com/2021/04/12/ARTIPnkDhahvF1fbJBgRkSne210412.shtml","当地4月12日晚缅甸国家电视台发布消息称，经警方调查，当天凌晨4时许在仰光一处公交停车场起火的五辆公交车是遭遇人为纵火。","公交车,人为纵火","2021-04-12","国际","2021-04-24 16:53:36"
"法国巴黎一家医院外发生枪击案致1死1伤 枪手在逃","https://news.cctv.com/2021/04/12/ARTIUTed8dF7hRFztcKsAIUj210412.shtml","当地时间12日，法国巴黎一家医院外发生枪击事件，造成一人死亡，一人受伤。","枪击案,法国,巴黎","2021-04-12","国际","2021-04-24 16:53:36"
"国际锐评丨“美式民主”是破坏世界和平的最大黑手","https://news.cctv.com/2021/04/12/ARTISkSfQuI4yhslziR2hGqD210412.shtml","近期，乌克兰东部局势不断升温。这其中，“美国黑手”不断闪现。美国军方声称要将军舰部署至黑海地区；美国总统、国务卿等多位重量级官员与乌方展开密集沟通。在美国的一再插手下，乌克兰面临着陷入大规模军事冲突的风险。","国际社会,美式民主","2021-04-12","国际","2021-04-24 16:53:36"
"缅甸总统温敏和国务资政昂山素季所涉案件第四次开庭","https://news.cctv.com/2021/04/12/ARTIntuoapfwxkMyjLGd6c4I210412.shtml","当地时间4月12日，缅甸总统温敏和国务资政昂山素季所涉案件在内比都第四次开庭，此次开庭仍以远程视频形式进行。","昂山素季,温敏,案件","2021-04-12","国际","2021-04-24 16:53:36"
"俄罗斯民众纪念加加林太空飞行60周年","https://photo.cctv.com/2021/04/12/PHOAwia7NWImM0muGk0OSgeP210412.shtml","当地时间2021年4月11日，俄罗斯圣彼得堡，为纪念加加林太空飞行60周年。","俄罗斯,民众,纪念","2021-04-12","国际","2021-04-24 16:53:36"
"美国明尼苏达州又现涉警枪击及抗议","https://photo.cctv.com/2021/04/12/PHOA6NVN6rHvwDGGDOGywvP9210412.shtml","4月11日，美国明尼苏达州明尼阿波利斯爆发抗议示威活动，抗议者谴责警察暴力执法。","美国,明尼苏达州,涉警","2021-04-12","国际","2021-04-24 16:53:36"
"东京民众集会反对日本政府排核污水入海","https://photo.cctv.com/2021/04/12/PHOA8Gfu5pOT8kYNErEMOZjf210412.shtml","4月12日，日本东京，民众在首相办公室外参加抗议活动，发对将福岛第一核电站的核污水排入大海。","东京,民众,集会","2021-04-12","国际","2021-04-24 16:53:36"
